CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,102,-,1,-,"2,466.75",-63.25,750,"2,522.50","2,558.00",150,"22,250.00","17,72,550",0.65,0.70,"15,85,200",-0.30,0.70,30.29,"2,18,116","30,004","54,625",
,51,-,4,57.37,"2,556.25",17.55,150,"2,482.30","2,505.95",525,"22,300.00","9,46,950",0.65,0.70,"7,95,075",-0.30,0.70,29.72,"87,761","13,796","35,214",
,7,-,-,-,-,-,750,"2,399.20","2,507.80",750,"22,350.00","1,67,325",0.70,0.75,"64,800",-0.25,0.75,29.35,"11,352",231,"6,811",
,11,-,-,-,-,-,750,"2,365.80","2,468.35",750,"22,400.00","1,41,375",0.75,0.80,"1,51,350",-0.25,0.75,28.96,"12,374","1,336","6,840",
,7,-,2,55.53,"2,410.85",-,75,"2,331.05","2,372.50",750,"22,450.00","11,400",0.85,0.90,"33,750",-0.40,0.85,28.56,"4,842",798,"1,147",
,135,-4,15,36.28,"2,306.65",-49.40,75,"2,285.35","2,296.40",75,"22,500.00","2,01,000",0.90,0.95,"3,34,875",-0.35,0.95,28.30,"42,390","1,979","17,710",
,10,-,-,-,-,-,750,"2,070.65","2,314.35",750,"22,550.00","8,925",1.05,1.10,"15,150",-0.25,1.10,28.15,"2,934",316,511,
,23,-,-,-,-,-,750,"2,147.45","2,244.30",750,"22,600.00","19,650",1.15,1.20,"76,800",-0.20,1.15,27.69,"5,321",604,"2,605",
,8,-,-,-,-,-,750,"2,100.30","2,202.75",750,"22,650.00","19,575",1.20,1.25,"10,500",-0.20,1.20,27.22,"3,153",321,578,
,51,-,-,-,-,-,750,"2,050.45","2,128.85",75,"22,700.00","18,750",1.25,1.30,"45,075",-0.10,1.30,26.74,"6,679",236,"2,440",
,29,-,2,34.53,"2,060.00",10.00,75,"2,031.65","2,066.30",825,"22,750.00","11,475",1.30,1.35,"17,775",-0.15,1.35,26.26,"5,127",200,671,
,32,-1,7,40.71,"2,027.85",-23.00,750,"1,959.20","1,996.90",75,"22,800.00","49,725",1.40,1.45,"69,900",-0.05,1.40,25.98,"22,905","-1,887","8,160",
,14,-,-,-,-,-,750,"1,894.10","2,000.10",750,"22,850.00","10,950",1.45,1.50,"21,075",-0.10,1.45,25.47,"7,915",455,"1,378",
,27,-,-,-,-,-,750,"1,849.80","1,951.30",825,"22,900.00","51,150",1.60,1.65,"54,000",-0.05,1.65,25.05,"17,823","1,206","8,019",
,7,-,-,-,-,-,750,"1,788.25","1,908.35",750,"22,950.00","18,675",1.75,1.80,"25,125",-0.05,1.80,24.70,"7,355",758,"1,684",
,"1,070",-,7,27.39,"1,805.00",-45.60,150,"1,788.30","1,797.10",75,"23,000.00","1,35,000",1.95,2.00,"1,48,050",-0.20,1.95,24.40,"1,47,924","24,522","68,941",
,9,-,-,-,-,-,750,"1,703.80","1,802.90",750,"23,050.00","31,050",2.00,2.05,"20,850",-0.15,2.00,23.85,"12,005","1,612","2,307",
,56,-,-,-,-,-,750,"1,640.90","1,757.65",750,"23,100.00","70,125",2.05,2.10,"67,500",-0.15,2.10,23.30,"48,221","6,535","14,299",
,14,-,-,-,-,-,75,"1,612.75","1,706.00",750,"23,150.00","9,975",2.30,2.35,"30,975",-0.15,2.30,23.00,"12,080",796,"1,383",
,258,-,-,-,-,-,750,"1,550.75","1,649.50",750,"23,200.00","53,850",2.40,2.45,"45,375",-0.05,2.45,22.55,"58,480","2,232","15,025",
,15,-,-,-,-,-,750,"1,503.55","1,606.65",750,"23,250.00","18,075",2.70,2.75,"25,725",-0.10,2.70,22.19,"15,871",898,"1,708",
,200,1,2,29.46,"1,519.25",-35.50,75,"1,485.65","1,497.00",75,"23,300.00","38,625",2.90,2.95,"1,02,150",-0.05,2.90,21.75,"59,723","6,109","14,613",
,11,-,-,-,-,-,750,"1,418.15","1,491.70","2,550","23,350.00",900,3.25,3.30,"12,300",0.10,3.30,21.43,"21,589","1,871","3,534",
,225,-1,8,-,"1,375.00",-71.45,75,"1,387.20","1,399.05",75,"23,400.00","13,125",3.45,3.50,"2,475",0.05,3.50,21.03,"68,504","9,254","18,434",
,8,-,1,-,"1,321.10",-30.60,75,"1,335.55","1,351.10",75,"23,450.00","2,025",4.00,4.05,"6,075",0.20,4.05,20.76,"22,614","1,795","2,927",
,"1,522",-132,378,17.98,"1,300.00",-54.80,75,"1,291.95","1,300.15",75,"23,500.00","11,475",4.45,4.50,"15,600",0.35,4.50,20.40,"1,62,786","8,969","50,768",
,19,-,-,-,-,-,300,"1,224.70","1,265.90",300,"23,550.00","1,425",5.05,5.10,"5,625",0.60,5.10,20.09,"39,861","3,680","5,519",
,309,8,21,25.92,"1,225.00",-14.10,150,"1,193.15","1,203.35",75,"23,600.00","9,300",5.75,5.85,"14,850",0.85,5.75,19.77,"95,100","2,848","19,035",
,9,-,-,-,-,-,300,"1,125.55","1,165.55",300,"23,650.00","3,825",6.55,6.60,"2,550",1.05,6.60,19.50,"41,276","1,979","5,868",
,331,-9,18,19.02,"1,108.55",-61.80,75,"1,095.25","1,104.90",75,"23,700.00","8,700",7.50,7.55,"4,575",1.15,7.55,19.19,"1,08,492","5,857","24,000",
,21,8,21,23.20,"1,074.70",14.55,300,"1,047.30","1,056.50",75,"23,750.00",975,8.80,8.85,"4,575",1.65,8.85,18.99,"1,00,458","15,298","19,238",
